,index,number,link,title,img
0,"E121: Macro update, Fed hike, CRE debt bubble, Balaji's Bitcoin bet, TikTok's endgame & more",121.0,https://www.youtube.com/watch?v=ub9QcwSgbjc&list=UUESLZhusAkFfsNsApnjF_Cg&index=1,"E121: Macro update, Fed hike, CRE debt bubble, Balaji's Bitcoin bet, TikTok's endgame & more",https://i.ytimg.com/vi/ub9QcwSgbjc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD4wsvsnmwo3EmUjgf9ETJfumd0jA
1,E120: Banking crisis and the great VC reset,120.0,https://www.youtube.com/watch?v=yYwfiqYocc0&list=UUESLZhusAkFfsNsApnjF_Cg&index=2,E120: Banking crisis and the great VC reset,https://i.ytimg.com/vi/yYwfiqYocc0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLATnNXMO4Js6vXjQqqWOu9Yg-RqIQ
2,"E119: Silicon Valley Bank implodes: startup extinction event, contagion risk, culpability, and more",119.0,https://www.youtube.com/watch?v=CEee7dAk25c&list=UUESLZhusAkFfsNsApnjF_Cg&index=3,"E119: Silicon Valley Bank implodes: startup extinction event, contagion risk, culpability, and more",https://i.ytimg.com/vi/CEee7dAk25c/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDT79CD4Ax4d97d9NindIl_NS0XFw
3,"E118: AI FOMO frenzy, macro update, Fox vs Dominion, US vs China & more with Brad Gerstner",118.0,https://www.youtube.com/watch?v=FOuks3BM55o&list=UUESLZhusAkFfsNsApnjF_Cg&index=4,"E118: AI FOMO frenzy, macro update, Fox vs Dominion, US vs China & more with Brad Gerstner",https://i.ytimg.com/vi/FOuks3BM55o/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA1Sh4BdwaeW_JgfU6S373LKOB0kg
4,"E117: Did Stripe miss its window? Plus: VC market update, AI comes for SaaS, Trump's savvy move",117.0,https://www.youtube.com/watch?v=OKshpRGOY0I&list=UUESLZhusAkFfsNsApnjF_Cg&index=5,"E117: Did Stripe miss its window? Plus: VC market update, AI comes for SaaS, Trump's savvy move",https://i.ytimg.com/vi/OKshpRGOY0I/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDVTO_dMoA2aGUtyoCwFGwOjJBQFA
5,"E116: Toxic out-of-control trains, regulators, and AI",116.0,https://www.youtube.com/watch?v=yjso9aZGaO0&list=UUESLZhusAkFfsNsApnjF_Cg&index=6,"E116: Toxic out-of-control trains, regulators, and AI",https://i.ytimg.com/vi/yjso9aZGaO0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCAnCxAqsubvN0c5dqwoNP1CPUA3w
6,"E115: The AI Search Wars: Google vs. Microsoft, Nordstream report, State of the Union",115.0,https://www.youtube.com/watch?v=PVgBWV2bvLs&list=UUESLZhusAkFfsNsApnjF_Cg&index=7,"E115: The AI Search Wars: Google vs. Microsoft, Nordstream report, State of the Union",https://i.ytimg.com/vi/PVgBWV2bvLs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDGPaKNlzhoqJFj20hnCaUCM1tg1g
7,"E114: Markets update: whipsaw macro picture, big tech, startup mass extinction event, VC reckoning",114.0,https://www.youtube.com/watch?v=Ymo6Yzjv_KY&list=UUESLZhusAkFfsNsApnjF_Cg&index=8,"E114: Markets update: whipsaw macro picture, big tech, startup mass extinction event, VC reckoning",https://i.ytimg.com/vi/Ymo6Yzjv_KY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAHO5SUhXnz-t2hlqndvOYJBNIYhg
8,"E113: DOJ tries to break up Google, vaccine questions, Ukraine escalation & more",113.0,https://www.youtube.com/watch?v=CwQMMzoeH9s&list=UUESLZhusAkFfsNsApnjF_Cg&index=9,"E113: DOJ tries to break up Google, vaccine questions, Ukraine escalation & more",https://i.ytimg.com/vi/CwQMMzoeH9s/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDD0jfnP1pCp1p-JNjBJMDtsbVczg
9,"E112: Is Davos a grift? Plus: globalist mishaps, debt ceilings, TikTok's endgame & more",112.0,https://www.youtube.com/watch?v=T7E22zdUDpk&list=UUESLZhusAkFfsNsApnjF_Cg&index=10,"E112: Is Davos a grift? Plus: globalist mishaps, debt ceilings, TikTok's endgame & more",https://i.ytimg.com/vi/T7E22zdUDpk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB5DrD6HjZ_n-nDu8rQPQZiNyuFEQ
10,"E111: Microsoft to invest $10B in OpenAI, generative AI hype, America's over-classification problem",111.0,https://www.youtube.com/watch?v=kiMTRQXBol0&list=UUESLZhusAkFfsNsApnjF_Cg&index=11,"E111: Microsoft to invest $10B in OpenAI, generative AI hype, America's over-classification problem",https://i.ytimg.com/vi/kiMTRQXBol0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDw7nkMX_40ZkhG6wZAx6dOjHNz3g
11,E110: 2023 Bestie Predictions!,110.0,https://www.youtube.com/watch?v=M3UjMit3xGY&list=UUESLZhusAkFfsNsApnjF_Cg&index=12,E110: 2023 Bestie Predictions!,https://i.ytimg.com/vi/M3UjMit3xGY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC_NkeFKNbjRQZbw2fhwJpydmzdyw
12,E109: 2022 Bestie Awards Live from Twitter HQ,109.0,https://www.youtube.com/watch?v=HE5CTKqWEV0&list=UUESLZhusAkFfsNsApnjF_Cg&index=13,E109: 2022 Bestie Awards Live from Twitter HQ,https://i.ytimg.com/vi/HE5CTKqWEV0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7kI8fu5CMJXisxB3rjPVtXfsPOw
13,"E108: Doxing debate, Nuclear fusion breakthrough, state of the markets & more",108.0,https://www.youtube.com/watch?v=RDdjA4yJy88&list=UUESLZhusAkFfsNsApnjF_Cg&index=14,"E108: Doxing debate, Nuclear fusion breakthrough, state of the markets & more",https://i.ytimg.com/vi/RDdjA4yJy88/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB4n9JjyuRzrDDN7U3BRmBtwz4xNQ
14,"E107: The Twitter Files Parts 1-2: shadow banning, story suppression, interference & more",107.0,https://www.youtube.com/watch?v=o6HBFo7ft9k&list=UUESLZhusAkFfsNsApnjF_Cg&index=15,"E107: The Twitter Files Parts 1-2: shadow banning, story suppression, interference & more",https://i.ytimg.com/vi/o6HBFo7ft9k/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDwsa1t8_j3A27jZ0tk99mWBVPBIQ
15,"E106: SBF's media strategy, FTX culpability, ChatGPT, SaaS slowdown & more",106.0,https://www.youtube.com/watch?v=4qOEg4LbdTU&list=UUESLZhusAkFfsNsApnjF_Cg&index=16,"E106: SBF's media strategy, FTX culpability, ChatGPT, SaaS slowdown & more",https://i.ytimg.com/vi/4qOEg4LbdTU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAUyDIjIurXEcbLTC72ELvvXP0WWQ
16,"E105: Tech culture wars: Elon vs. SBF, Sabotaging Republicans with Trump",105.0,https://www.youtube.com/watch?v=KX7tj3giizI&list=UUESLZhusAkFfsNsApnjF_Cg&index=17,"E105: Tech culture wars: Elon vs. SBF, Sabotaging Republicans with Trump",https://i.ytimg.com/vi/KX7tj3giizI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDm2fnj5kRCbTfwC5sqyfM01t1aew
17,"E104: FTX collapse with Coinbase CEO Brian Armstrong + election results, macro update & more",104.0,https://www.youtube.com/watch?v=Id7cNqwqt1I&list=UUESLZhusAkFfsNsApnjF_Cg&index=18,"E104: FTX collapse with Coinbase CEO Brian Armstrong + election results, macro update & more",https://i.ytimg.com/vi/Id7cNqwqt1I/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7m8ySWz4JBaxgMfYn7SO5V_ddzA
18,"E103: Tech layoffs surge, big tech freezes hiring, optimizing for profits, election preview & more",103.0,https://www.youtube.com/watch?v=Ma6XineLufc&list=UUESLZhusAkFfsNsApnjF_Cg&index=19,"E103: Tech layoffs surge, big tech freezes hiring, optimizing for profits, election preview & more",https://i.ytimg.com/vi/Ma6XineLufc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAUfn2LniMWm6NPsO8GON7wWu7Ffg
19,"E102: Elon closes Twitter deal, $META uncertainty, Zuck's historic bet, big tech decline & more",102.0,https://www.youtube.com/watch?v=A-bIpJdaCnM&list=UUESLZhusAkFfsNsApnjF_Cg&index=20,"E102: Elon closes Twitter deal, $META uncertainty, Zuck's historic bet, big tech decline & more",https://i.ytimg.com/vi/A-bIpJdaCnM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC3l2Ixjqh24Btb9XsFA1-l1AKhLA
20,"E101: Ye acquires Parler, Snap drops 30%, macro outlook, VC metrics, valuing stocks & more",101.0,https://www.youtube.com/watch?v=M5IzFvBQ-Zo&list=UUESLZhusAkFfsNsApnjF_Cg&index=21,"E101: Ye acquires Parler, Snap drops 30%, macro outlook, VC metrics, valuing stocks & more",https://i.ytimg.com/vi/M5IzFvBQ-Zo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDsdSaaDmc-vjft5FPYenllqwIfWg
21,"E100: Reflecting on the first 100 shows, fan questions, nuclear threat, markets, Amazon & more",100.0,https://www.youtube.com/watch?v=ftNCKO_crGE&list=UUESLZhusAkFfsNsApnjF_Cg&index=22,"E100: Reflecting on the first 100 shows, fan questions, nuclear threat, markets, Amazon & more",https://i.ytimg.com/vi/ftNCKO_crGE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAjMAz0ttkD-wravRIPznS08sFWsQ
22,"E99: Cheating scandals, Twitter updates, rapid AI advancements, Biden's pardon, Section 230 & more",99.0,https://www.youtube.com/watch?v=0JTcxIVlQfU&list=UUESLZhusAkFfsNsApnjF_Cg&index=23,"E99: Cheating scandals, Twitter updates, rapid AI advancements, Biden's pardon, Section 230 & more",https://i.ytimg.com/vi/0JTcxIVlQfU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBXiShzv3Q9pYBSecdqY-DpWiYcfg
23,"E98: Big tech starts making cuts, Fed incompetency, global debt, Russia/Ukraine & more",98.0,https://www.youtube.com/watch?v=fU6QlvruLTw&list=UUESLZhusAkFfsNsApnjF_Cg&index=24,"E98: Big tech starts making cuts, Fed incompetency, global debt, Russia/Ukraine & more",https://i.ytimg.com/vi/fU6QlvruLTw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCMMWgR8FI4iE0ADIgyRsgqjGInVg
24,"E97: SPAC updates, public/private market overview, Putin's end game & more",97.0,https://www.youtube.com/watch?v=bcGwHworAo0&list=UUESLZhusAkFfsNsApnjF_Cg&index=25,"E97: SPAC updates, public/private market overview, Putin's end game & more",https://i.ytimg.com/vi/bcGwHworAo0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCAej3qoNEQOUK7D8RLxGPxg39WIQ
25,"E96: Adobe acquires Figma for $20B, TPB SPAC, FedEx CEO's recession warning, macro picture & more",96.0,https://www.youtube.com/watch?v=_UpczzfeAFA&list=UUESLZhusAkFfsNsApnjF_Cg&index=26,"E96: Adobe acquires Figma for $20B, TPB SPAC, FedEx CEO's recession warning, macro picture & more",https://i.ytimg.com/vi/_UpczzfeAFA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAXj_F7GZdtrXwr7dY_3oZKlR-Y9g
26,"E95: Winter is Coming, Europe's energy crisis, Kim Kardashian's new PE firm & more",95.0,https://www.youtube.com/watch?v=s0tfoW1N3VM&list=UUESLZhusAkFfsNsApnjF_Cg&index=27,"E95: Winter is Coming, Europe's energy crisis, Kim Kardashian's new PE firm & more",https://i.ytimg.com/vi/s0tfoW1N3VM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAMQhSHZRKtyUr8jU-NNUrfW0jnXQ
27,"E94: NFT volume plummets, California's overreach, FBI meddling, climate change & national security",94.0,https://www.youtube.com/watch?v=Wc-Leuq0G7o&list=UUESLZhusAkFfsNsApnjF_Cg&index=28,"E94: NFT volume plummets, California's overreach, FBI meddling, climate change & national security",https://i.ytimg.com/vi/Wc-Leuq0G7o/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBQM5Nd7ZcKvutk_sVRlJRYMzWGBg
28,"E93: Twitter whistleblower, cloud security vulnerabilities, student debt forgiveness & more",93.0,https://www.youtube.com/watch?v=YRU4eNtL4g4&list=UUESLZhusAkFfsNsApnjF_Cg&index=29,"E93: Twitter whistleblower, cloud security vulnerabilities, student debt forgiveness & more",https://i.ytimg.com/vi/YRU4eNtL4g4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBFQuI65yQGo6yNsOVaNezklRM1EA
29,"E92: Adam Neumann's second act, a16z's $350M bet, housing policy, Inflation Reduction Act & more",92.0,https://www.youtube.com/watch?v=nId3Jy5bjrY&list=UUESLZhusAkFfsNsApnjF_Cg&index=30,"E92: Adam Neumann's second act, a16z's $350M bet, housing policy, Inflation Reduction Act & more",https://i.ytimg.com/vi/nId3Jy5bjrY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAmtOLNZIBv24x2V71Uv1rJRWoTCQ
30,"E91: SoftBank's $21B+ Vision Fund loss, signals of a bubble, macro picture, Trump raided by FBI",91.0,https://www.youtube.com/watch?v=TlWgTNGkNe0&list=UUESLZhusAkFfsNsApnjF_Cg&index=31,"E91: SoftBank's $21B+ Vision Fund loss, signals of a bubble, macro picture, Trump raided by FBI",https://i.ytimg.com/vi/TlWgTNGkNe0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC_h15Z-eDUTv6JA_D7ul_xd5Y0Tw
